
0, 17862, 33744, 53028, 76472, 105210, 139620, 181971, 233396, 295788, 371792, 464433, 
-,0, 33744, 53028, 76472, 105210, 139620, 181971, 233396, 295788, 371792, 464433, 
-,-,0, 53028, 76472, 105210, 139620, 181971, 233396, 295788, 371792, 464433, 
-,-,-,0, 76472, 105210, 139620, 181971, 233396, 295788, 371792, 464433, 
-,-,-,-,0, 105210, 139620, 181971, 233396, 295788, 371792, 464433, 
-,-,-,-,-,0, 139620, 181971, 233396, 295788, 371792, 464433, 
-,-,-,-,-,-,0, 181971, 233396, 295788, 371792, 464433, 
-,-,-,-,-,-,-,0, 233396, 295788, 371792, 464433, 
-,-,-,-,-,-,-,-,0, 295788, 371792, 464433, 
-,-,-,-,-,-,-,-,-,0, 371792, 464433, 
-,-,-,-,-,-,-,-,-,-,0, 464433, 
